tmdb_collection_id,collection_name
135489,Wishmaster Collection
725456,American Poltergeist
691535,KM 31 - Colección
133923,Zombi Collection
91799,Tremors Collection
996524,Meathook Massacre Collection
20725,Raaz Collection
161766,Gamera (Showa) Collection
704438,Barbie & Kendra Collection
107725,Creepshow Collection
105995,Anaconda Collection
383032,Honto Ni Atta! Noroi no Video
662064,Ryo Moroe Horror Series
650373,American Guinea Pig Collection
234835,Camp Blood Collection
87536,Warlock Collection
10893,Critters Collection
97237,Faces of Death Collection
519018,Blood Feast Collection
362294,The Criminals Collection
115762,AVP Collection
884885,放送禁止
984200,Carnal Collection
47629,Mr. Boogedy Collection
803249,When They Cry Collection
107949,Puppet Master Collection
230161,Fright Night (Reboot) Collection
870054,Caesar and Otto Collection
256296,"Silent Night, Deadly Night Collection"
91361,Halloween Collection
219691,I Spit on Your Grave Collection
568449,Zombie Massacre Collection
691937,Siren: Erotic Ghost
921710,The Blackwell Ghost Collection
9887,Species Collection
983933,Boggy Creek Collection
900879,Prema Katha Chitram Collection
123256,Pumpkinhead Collection
721280,Suicide Club Collection
138965,The Mummy (Hammer) Collection
499070,Project Itoh Collection
991508,怪谈·新耳袋(系列)
297371,Reeker Collection
9735,Friday the 13th Collection
96937,Boogeyman Collection
607112,Hell House LLC Collection
488990,Creep Collection
744694,Terror Within Collection
490673,Kurt Josef Wagle Collection
534180,Dead River Collection
529534,Sijjin Collection
856206,Shrill Cries Collection
12263,The Exorcist Collection
10919,The Omen Collection
108170,The Blind Dead Collection
242275,Violent Shit Collection
128118,Deadlands Collection
397842,The Amityville Collection
861207,The Executioner collection
674522,Pee Nak Collection
553902,True North Collection
1002892,Teito Monogatari Collection
554677,The Kolchak Collection
1960,Evil Dead Collection
174218,The Howling Collection
527950,"Shake, Rattle & Roll Collection"
764799,A Heist With Markiplier Collection
203029,Witchcraft Collection
415694,Harihar Nagar  Collection
385386,Parasyte Collection
680942,青鬼（系列）
403643,Troublesome Night Collection
98462,Fu Manchu (Christopher Lee) Collection
207621,V/H/S Collection
1021155,Maneater Series
124935,The Lawnmower Man Collection
804307,WICCA Series
868672,The Three Mothers Collection
532736,Countess Dracula Collection
955786,Carved Collection
410999,Day Dream
303851,The Bloodthirsty Trilogy
52760,Urban Legend Collection
552742,Oh My Ghost Collection
8917,Hellraiser Collection
385250,Black Magic
139394,Tomie Collection
530064,The Shining Collection
86578,Hostel Collection
973191,Facez of Death 2000
982913,The Haunted Collection
559735,Don't Hug Me I'm Scared Collection
785960,The First Wave
734045,Haunted School Collection
609452,Aakashaganga Collection
709993,My Annabelle Creation Shorts
724328,Night of the Living Dead 3D - Collection
94899,Jeepers Creepers Collection
666337,The Boy Collection
723282,Antisocial Collection
698905,My Super Psycho Sweet 16 Collection
96671,The Human Centipede Collection
479002,Gogol Collection
294226,The Dead Collection
940323,Village Collection
688278,666 Collection
264434,Demonic Toys Collection
122017,Screamers Collection
781465,Bloody Christmas
315689,Stop the Bitch Campaign
625654,Zoombies Collection
439409,Fear Collection
166924,Fuuin Eizou
124901,Hatchet Collection
719676,01:00 AM	 Collection
910708,Titisan Setan
793272,Angel Guts Collection
605919,Feeders Collection
182923,Tetsuo Collection
998794,Tam Canh
723660,Crossclub
256297,It's Alive Collection
86113,Open Water Collection
143757,Stir of Echoes Collection
746434,The Damned Collection
429234,Trilogia Zé do Caixão
533711,WolfCop Collection
739920,The House of Pop Collection
135501,976-EVIL Collection
228446,Insidious Collection
635922,47 Meters Down Collection
497534,The Invoking Collection
327871,Count Yorga Collection
19285,Leprechaun Collection
906341,Yami Douga Collection
10721,Mimic Collection
8864,Final Destination Collection
256322,The Purge Collection
1565,28 Days/Weeks Later Collection
985233,Horror House Highway Collection
326849,Mostly Ghostly Collection
3601,I Know What You Did Last Summer Collection
478328,The Houses October Built Collection
10924,From Dusk Till Dawn Collection
192541,The Twins Effect Collection
128123,Dark Rising Collection
744915,The Curse Collection (1987-1991)
184225,Todd McFarlane's Spawn
589061,Queen of Spades Collection
813157,Americanized Godzilla Collection
797576,The Reef Collection
726515,Strangled Collection
815182,Şeytan-ı Racim [Seri]
101471,Return of the Living Dead Collection
534272,Hideshi Hino's Theater of Horror
538387,Malevolence Collection
1032216,Baby Oopsie Collection
168545,Sometimes They Come Back Collection
974282,Demon Beast Collection
745329,... Blood Collection
510834,The Aztec Mummy Collection
221537,Creature From The Black Lagoon Collection
761395,The Bare Wench Project Collection
449511,Ratten - Collection
821702,Bad Ben Collection
422193,The Blob Collection
432022,Horror Stories Collection
262086,The Brotherhood Collection
123720,Frankenstein (Hammer) Collection
1972,Ju-on Collection
1020416,Easter Bunny Massacre Collection
610474,Trilogy of Lust Collection
749405,The Killer Eye Collection
123724,Dracula (Hammer) Collection
471259,1313 Collection
696965,French Blood Anthology
798471,Kutsal Damacana [Seri]
681955,Mirror Mirror Collection
727761,Terrifier Collection
1001670,Summoning Bloody Mary Collection
974279,Angel of Darkness (Animated) Collection
150374,All Night Long Collection
844181,Daninsky Werewolf Collection
155421,Mr. Vampire Collection
375886,Willard Collection
177675,The Last Exorcism Collection
498578,Muni Collection
74473,The Valdemar Legacy Collector
528005,Ang Panday (Fernando Poe Jr. series)
870234,Megalodon Collection
966720,山村老尸（系列）
133922,Zombie Bloodbath Collection
649306,Bloody Chainsaw Girl Collection
381396,Bats Collection
906438,Makmum
268103,Zombie Planet Trilogy
786156,Spirit of the Glass Collection
693434,The Homejack Collection
989890,Operation Pink Squad Collections
521226,A Quiet Place Collection
826725,Meet the Blacks Collection
41437,Paranormal Activity Collection
123255,Prom Night Collection
526380,Happy Death Day Collection
123218,Troll Collection
863179,Head of the Family
357173,Sinister Collection
140758,Decoys Collection
514732,The Robo-Warrior Trilogy
828555,表哥到（系列）
928238,Lesson of the Evil Collection
718111,Devil Hunter Yohko
997739,Suzzanna New Generation Collection
656,Saw Collection
361946,Rumic World
138974,The Sorority House Massacre Collection
494838,2-Headed Shark Attack Collection
800116,Survive Girls
201930,Blacula Collection
97307,BloodRayne Collection
652379,Sorority Babes Collection
479692,Robert Collection
116847,Dr. Phibes Collection
505857,The Tag-Along Collection
169740,The Haunting in Connecticut Collection
721992,Project Shadowchaser Collection
1002035,Sivi Collection
596978,Erotic Witch Project Collection
98036,Re-Animator Collection
389867,Shark Attack
891174,Nobody Sleeps in the Woods Tonight Collection
160598,Brigada Z Collection
531675,The Jennifer Found Footage Collection
398801,The Haunted Cop Shop Collection
758369,The Craft Collection
250878,Necromancer
102782,House Collection
297501,I'm A Zombie Collection
248339,House on Haunted Hill Collection
957890,Jurassic Shark Collection
487765,The Strangers Collection
723378,Manos Collection
432207,The Sex Files
762458,Scooby-Doo! Zombie Island Collection
47983,Killer Tomatoes! Collection
774027,DOKURO Collection
774679,Gwilliam Collection
571825,Kuutamosonaatti
175858,Hidden Collection
634390,Doom Collection
636165,Cementerio General Collection
44913,Ghoulies Collection
406817,Horror High Collection
47391,Sleepaway Camp Collection
840699,Krai Thong Collection
385709,Tales From The Dark
98580,Candyman Collection
784043,Matinee Idol Collection
721889,Watchers Collection
115822,Dracula 2000 Collection
430201,Demons Collection
742536,The Meg Collection
32135,The Toxic Avenger Collection
8918,The Hills Have Eyes (Reboot) Collection
694606,The Rocky Horror Picture Show Collection
442195,All Hallow's Eve Collection
762822,Filthy McNasty Collection
881468,Fear PHarm Collection
643610,Bunnyman Collection
142547,Kadokawa Mystery & Horror Tales
447312,Cottontail Zombies Collection
103291,Subspecies Collection
991942,The Sacred Riana - Collection
286038,Dead Snow Collection
750050,Don't Fuck in the Woods Collection
980777,The Bad Nun / Satanic Nun Collection
123249,"Ilsa, She Wolf of the SS Collection"
518165,Deep Blue Sea Collection
535121,Halloween Nightmare Collection
600361,Monster X Collection
980780,Doctor Carver / Conjuring the Plastic Surgeon Collection
122952,Vampire Hunter D Collection
977824,Bhool Bhulaiyaa Collection
371950,Dark Woods Collection
652696,Crocodile Collection
374384,Stepford Collection
476063,Guinea Pig Collection
1026936,Evil (To Kako) Collection
91660,30 Days of Night Collection
56005,Dead Space - Collection
114915,Xtro Collection
554930,The Thinning Collection
997723,Suster Keramas Collection
595390,3 A.M. Collection
210575,Parallel Lines
126209,Halloween (Rob Zombie Series) Collection
921313,South of 8 Collection
149704,Alone in the Dark Collection
261590,Living Dead Collection
685157,Mick Travis Collection
363386,Rape Zombie Series
123932,Quarantine Collection
651960,Death Bell Collection
86112,Vacancy Collection
960149,Karnstein (Hammer) Trilogy
117952,The Dentist Collection
254636,Maniac Cop Collection
585662,The Lost World Collection
690952,The Birds Collection
387086,The Warrior Collection
256484,Carnosaur Collection
971395,Pluto it is no Longer a Planet Collection
685489,The Unnamable Collection
745180,the chasing world
111751,Texas Chainsaw Massacre Collection
413102,The Hospital Collection
627527,Alien Factor Collection
119240,The Joys of Torture Collection
726337,Unseen Evil Collection
313086,The Conjuring Collection
899693,Hotel Inferno Collection
802549,Future Amazons Series
997721,Pulau Hantu Collection
203178,Jack Frost Collection
564857,Pretham Collection
768980,Mommy Collection
267922,The Hills Have Eyes (Original) Collection
998652,Bloodthirst Collection
853309,Dream Hunter Rem Collection
8091,Alien Collection
944437,Survival of the Dead Collection
294918,Paranormal Investigations Collection
201576,Cabin Fever Collection
165369,The Collector Collection
780175,Amateur Porn Star Killer Collection
136218,Night of the Demons Collection
903979,Axt Collection
923500,Gates of Hell Trilogy
460567,Death Scenes Collection
587072,Buppah Ratree Collection
1026934,Meat Market Collection
104716,Basket Case Trilogy
825565,Zoom Up Collection
840177,Door Collection
519564,Las Leyendas Collection
558854,Howard Lovecraft Collection
84785,La trilogie de la mort – Nacho Cerda
509631,Haunted Road Collection
995186,Clown Motel Collection
385645,Shaolin vs. Evil Dead Collection
115142,Tales from the Crypt Collection
820742,Dr. Orloff Collection
528034,Grizzly Collection
580327,Head Cases
546378,Corpse Prison Collection
885105,Meatball Machine Collection
53043,The Magick Lantern Cycle
8581,A Nightmare on Elm Street Collection
643729,Spirit Warrior Collection
818576,Beyond the Door Collection
879516,The Secret
936956,My Ex Collection
733504,Spirit Warriors Collection
363066,Erotic Ghost Story Collection
489680,The Horror Convention Massacre
296872,See No Evil Collection
370374,Sharktopus Collection
985432,The Houses of Doom Collection
124934,Alligator Collection
182617,Elvira Collection
697022,Alien: Covenant Short Film Collection
416305,Killjoy Collection
815185,Ammar [Seri]
98430,Feast Collection
378718,Hana-Dama Collection
1002637,Killer Poop Collection
52985,Wrong Turn Collection
1031768,Scooby-Doo! Collection
991940,Ghost Writer - Collection
97768,Lake Placid Collection
374418,The Mangler Collection
993868,The Axe Grinder Collection
286023,Sharknado Collection
138968,The Gingerdead Man Collection
623480,Bloody Murder Collection
972513,Dark Web Collection
340623,The Gate Collection
719405,OneChanbara Collection
370411,Attack on Titan Collection
660759,The Suicide Manual Collection
473185,Dead in Tombstone Collection
429826,The Hobgoblin Collection
815197,Hüddam [Seri]
702255,K7B Mutation
268098,Wolf Creek Collection
979678,Doomwatch Collection
135466,Grave Encounters Collection
527961,Feng Shui Collection
702997,The Philip Lovecraft Collection
990842,The Spooky Family Collections
623353,Kazuo Umezu's Horror Theater Collection
402074,Annabelle Collection
115225,Children of the Corn Collection
109076,Lost Boys Collection
544031,Nightmare Collections
10453,Poltergeist Collection
64748,Silent Hill Collection
1002056,The Stalker Chronicles
993128,Keramat Collection
669722,Hex Collection
1033032,A Haunting on Dice Road: The Hell House Collection
374509,Godzilla (Showa) Collection
900881,Darling Collection
619537,Train to Busan Collection
706320,Slasher House Collection
752944,Bhoot Collection
298778,1920 Collection
132877,Painted Skin Collection
638441,Happy Ghost Collection
948620,Crime of a Beast Collections
232407,In 3 Tagen bist du tot Filmreihe
117927,House of the Dead Collection
17255,Resident Evil Collection
812830,Blood Island Collection
710894,Swamp Zombies Collection
407273,Dead Rising Collection
657773,Munafik Trilogy
826762,Python Collection
762287,Killer Shrews Collection
553013,WNUF Halloween Collection
9068,The Prophecy Collection
388314,Deadtime Stories
562059,Lake Fear Collection
1031154,Uniform SurviGirl collection
873202,24 Hour Television Specials
436154,La Blue Girl Collection
906338,Senritsu Kaiki! Files
99321,Gantz Collection
998574,Visible Secret Collections
632909,May the Devil Take You
747063,Kuntilanak (Remake) Collection
950289,X Collection
315560,The Woman in Black Collection
285130,2001 Maniacs Collection
987266,Ultimate Kill Collection
331117,Vomit Gore Series
383025,Hontou no Shinrei Douga Kage
918027,Carry On Collection
86553,Cold Prey Collection
657313,Gamera (Heisei) Collection
978810,Axeman Collection
476066,Begotten Collection
964563,Porkchop
256746,Vampire Boys Collection
879199,Asih Collection
527964,The Aswang Chronicles Collection
900019,Zombie Plague Collection
263866,Nuke 'Em High Collection
741791,Mexico Barbaro Filmreihe
470274,Killer Crocodile Collection
1019275,Terror Toons
1025281,Constantine Collection
686791,The Untold Story Collection
425175,Texas Chainsaw (Reboot) Collection
8412,Anatomy Collection
10789,Pet Sematary Collection
133352,Resident Evil: Biohazard Collection
698204,Peach Boy Collection
98168,Fright Night Collection
522577,Avengers Grimm Collection
376826,Torihada Collection
338327,Beach Party Collection
105625,Firefly Collection
74508,[REC] Collection
927689,Death Forest Collection
980198,Wellson Chin's Supernatural Buddy Cop series
292068,The Pact Collection
741967,Raw - Die Trilogie des Schreckens
9436,The Crow Collection
467577,Evil Bong Collection
987488,Devil Fetus Collections
715105,The Boogey Man Collection
629830,The Last House on the Left Collection
629358,The Car Collection
11140,Dr. Mabuse Collection
823074,Maniac Collection
64750,Blair Witch Collection
831249,Crazy Fat Ethel Collection
93369,Ringu Collection
14563,The Ring Collection
205977,The Kingdom
724871,Yokai Monsters
251937,A Haunted House Collection
483464,Golmaal Collection
930024,Dr. David Sorell Collection
979262,Sorceress Collection
623482,Sotto il vestito niente - Collezione
776517,Killer 'Coons Collection
484312,Skyline Collection
1029593,Les Enquêteurs de l'outre-tombe
580069,Yeti a Love Story Collection
109608,Van Helsing Collection
573728,Chanoc Collection
100415,Thumbs! Collection
173628,Nekromantik Collection
602483,Playing with Dolls Collection
994242,Witchouse Series
702650,Auton Trilogy collection
803230,Spooky Kitaro Collection
973135,Opowieści niezwykłe – Kolekcja Filmów
446149,P.R.O.B.E. Collection
741219,Cheerleader Massacre Collection
988584,Dinosaur Hotel
978737,Kuntilanak (Original) Collection
327233,Kibakichi Collection
507458,The ThanksKilling Collection
829687,Go Goa Gone Collection
811796,Tooth Fairy - Collection
999953,The Beast From Twenty Zillion Years Ago Collection
974261,Legend of Lyon Collection
950960,Tales of the Bizarre
529533,Dabbe [Seri]
782265,Grindsploitation Collection
488610,La petite mort Collection
532737,Mummy's Kiss Collection
296429,I Spit on Your Grave (Original) Collection
188458,Trilogy of Terror Collection
729601,'Missing' Collection
465250,Psycho Cop Collection
126580,One Missed Call Collection
896005,Dear God No!
918492,Simon Predj Spéciaux de Naël Collection
168186,Witchboard Collection
935280,Pizza
667185,Alligator Ladies Collection
459212,The Wailer Collection
932687,Kamen Rider Amazons Collection
974577,St. Michael Academy (Animated) Collection
264339,The Hamiltons Collection
382113,Spiders - Collection
904933,Faces of Dying Collection
158373,The Lost Skeleton Collection
518611,Buried Alive Collection
712820,Evil Dead Trap Collection
632912,The Doll
929008,Her Flesh Collection
123726,Quatermass (Hammer series)
904665,Dying Collection
790370,Fear Street Collection
212279,Piranha Collection
479888,The Thing Collection
748919,Don't Breathe Collection
672767,Angel of Darkness Collection
10455,Child's Play Collection
425280,Slime City Collection
196882,Megami Tensei Collection
506363,The Gallows Collection
518876,Molly Hartley Collection
276838,When a Stranger Calls Collection
102777,White Noise Collection
1974,The Grudge Collection
514942,Onmyoji Collection
786157,Bahay ni Lola Collection
769423,Escape Room Collection
879515,Rasuk Collection
632619,The Sharks Collection
638010,Still Collection
584852,Devi Collection
968052,The Nun Collection
264335,The Eye Collection
980781,Medusa: Queen of the Serpents Collection
47770,Phantasm Collection
995104,Eko Eko Azarak 2006
693729,Never Died Collection
336557,The Ouija Experiment Collection
113592,The Urotsukidōji Collection
534673,Madea - Collection
131780,Whispering Corridors Collection
89151,The Gremlins Collection
903103,Avunu Collection
898574,Bikini Bloodbath Collection
860029,Shitters Collection
957897,Octopus Collection
394258,The Amazing Colossal Man Collection
747484,The Locker Collection
9380,An American Werewolf Collection
991946,Satan's Slaves - Collection
993131,Jailangkung Collection
609193,Krampus Collection
974579,Star of David (Animated) Collection
730166,Black Water Collection
988589,Dragon Fury Collection
830781,Pet Sematary Reboot Collection
11794,Ginger Snaps Collection
599464,Machined Collection
828203,Make Me Shudder
374511,Godzilla (Heisei) Collection
679341,Nightmare Detective Collection
220441,Art of the Devil Collection
1004692,Inhuman kiss
476071,The Devil's Carnival Collection
735,Blade Collection
164395,The Messengers Collection
426103,Ouija Collection
439596,Lavalantula Collection
1030275,真・事故物件 シリーズ
643572,Chained Heat
903782,The Bad Seed Collection
473843,Stake Land Collection
575778,Mata Batin Collection
285879,Seed Collection
410925,Good Take Collection
221910,Raped by an Angel Collection
986072,Becky Collection
217704,The Vampire Chronicles Collection
1004686,The Wicked One Collection
550457,Machine Girl Collection
2602,Scream Collection
506355,Unfriended Collection
704623,Bahubuthayo Collection
437439,Phobia Collection
133887,Apocalypse Collection
736985,Strip Mahjong Series
940926,Amityville Scarecrow Collection
877586,... Cameras Collection
879518,Arwah Tumbal Nyai Collection
730098,Transforming Human Series
637998,Headless Hero Collection
126220,Waxwork Collection
441970,Corpse Party Collection
964225,The Sword and the Sorcerer Collection
980782,The Legend of Jack and Jill Collection
138706,The Stepfather Collection
930420,The Curse of Lizzie Borden Collection
849528,The Mothman
2366,Jaws Collection
693136,Francis the Talking Mule Collection
491768,Frankenstein (Toho) Collection
213150,Violence Jack Collection
166376,Hollow Man Collection
143755,Henry: Portrait of a Serial Killer Collection
995662,Halloween Jack Collection
264481,Mega Shark Collection
190435,Street Fighter (Animated) Collection
632911,Danur Collection
430186,Bring It On Collection
245334,The Daimajin Trilogy
529539,Musallat [Seri]
750822,The Addams Family (Animated) Collection
223564,The Cell Collection
387418,Maniac Killer Filmreihe
476054,The Hitcher Collection
1004047,Boys on Film Collection
105324,Mirrors Collection
977159,Dark Night of the Scarecrow Collection
457364,Ragini MMS Collection
896435,Embrace the Darkness Collection
916357,Jack in the Box Collection
551890,Tales From the Hood Collection
842877,Island of the Fishmen Collection
668003,One Cut of the Dead Collection
562535,Moontrap Collection
808827,The Necro Files Collection
777742,Vampire City
633245,Unit 731
985723,Hello Dracula Collection
88574,Scanners Collection
87258,The Descent Collection
419257,Scarecrow Collection
23616,Naruto Collection
700990,The Door in the Woods Collection
123213,The Fly Collection
348843,Vampires Collection
705731,Relentless Collection
537982,Zombieland Collection
104830,Piranha 3D Collection
1015517,Horoscope Collections
570991,Decadent Evil Collection
900882,Jithan Collection
222049,The Adventures of Young Indiana Jones Collection
278920,Vampires Suck Collection
3106,World of Watches Collection
776024,The Rope Curse
737382,The Babysitter Collection
759300,Fear of Clowns Collection
124188,Pulse Collection
117965,The Zombie Diaries Collection
759364,The Charlotte Collection
182384,Devilman OVA Collection
109609,The Fly (1986) Collection
1014548,DV collection
9743,The Hannibal Lecter Collection
787480,The Snake Girl Collection
816822,Eko Eko Azarak Collection
257053,Carrie Collection
950669,Kamen Rider Black Collection
729748,Man Hunting Series
358930,Contracted Collection
886176,Jack vs. Collection
518056,Toro Loco Collection
930472,Kamen Rider Ichigo & V3 Collection
756652,Are You Scared? Collection
984043,Inner Sanctum Collection
767746,Naked Poison Collection
590923,Olga Collection
87228,Swamp Thing Collection
693854,DAU Cinema
389978,ハード・リベンジ、ミリー
333398,Cabin By The Lake Collection
797016,In Search of Darkness Collection
810048,Shortcuts to Hell Collection
957891,Ghost Shark Collection
428046,Viy Collection
1015964,Slumber Party Slaughter Party
225961,Birdemic Collection
412736,Rare Exports Collection
264338,Rosemary's Baby Collection
773967,Lights Out Collection
746717,Old Mother Riley Collection
415931,The Bowery Boys Collection
842678,Real Fear Collection
522043,Sherlock Holmes (Ian Richardson) Collection
119674,Psycho Collection
783684,The Redwood Massacre Collection
661199,Kartoffelsalat Filmreihe
760193,Orphan Collection
442937,The Werewolf Game
205672,Encounters of the Spooky Kind Collection
778724,V Trilogy
514972,Ripper Collection
207632,The ABCs of Death Collection
997743,Mangkujiwo Collection
158643,Laid To Rest Collection
857262,Devil in the Flesh
708155,Draper's Tours Collection
759626,The Devil Had Other Plans Collection
343728,Vacaciones de terror - Colección
872991,CarousHELL Collection
659225,Hantu Kak Limah Collection
964335,Zombie World Collection
437172,Kamen Rider: The First Collection
930028,The Savage Bees Collection
45154,Darkman Collection
857324,The Fear Footage Collection
704004,Fracchia Collection
690968,Mazzaropi Collection
286006,Rest Stop Collection
891478,The Peacock King Collection
153629,Flower and Snake (Remake) Collection
227140,Black Emanuelle Collection
752958,Darna Hai Collection
624906,Vampiros en La Habana - Colección
284185,Mermaid Forest Collection
257571,C.H.U.D. Collection
680729,Daughter of Darkness Collection
477962,It Collection
927812,Wyrmwood Collection
300431,Lucky Stars Collection
419784,Masti Collection
116661,The Arrival Collection
1031641,The Foreign Exchange Student Collection
321063,The Sinbad Collection
645678,Meat pie collection
779505,Video Violence Series
138971,The Slumber Party Massacre Collection
282117,Skeleton Key Collection
508783,Goosebumps Collection
980783,The Curse of Humpty Dumpty Collection
936268,Aileen Wuornos Collection
570079,Knights of the Damned Collection
330555,Ernest Collection
123203,Hellboy (Animated) Collection
1014599,The House in Between Collection
925107,Sherlock Holmes (Peter O'Toole) Animated Collection
362848,A Chinese Torture Chamber Story Collection
395556,The August Underground Collection
158888,Spessart Collection
566251,Emmanuelle - The Private Collection
809185,Army of the Dead Collection
778725,Condemor
733500,Dead Country Collection
108804,Outpost Collection
110041,Naked Fear Collection
379897,Hayride Collection
955781,Veronica Collection
975081,X (Clamp) Collection
2326,Underworld Collection
593102,Saranae The Movie
654188,Aranmanai Collection
799108,Azazil [Seri]
1018874,Conjuring the Genie Collection
102018,Teke Teke Collection
436483,Bad Kids Collection
1026655,Never-Ending Trilogy
374512,Godzilla (Millennium) Collection
135416,Prometheus Collection
383028,Hontou ni Atta Toukou Yami Eizou
985826,Invasion of the Undead
551278,Tokyo Ghoul Movie Collection
961585,Taeter City saga
640395,Along Came the Devil Collection
894179,Penunggang Agama Collection
122947,Omega Code Series
1020101,Kosuke Kindaichi Collection
979255,Demonte Colony Collection
250411,SuicideGirls Collection
284151,Battlestar Galactica (Original) Collection
10522,Starship Troopers Collection
704494,Finis Hominis Collection
999097,女鬼橋（系列）
546206,Zona del silencio Collection
86105,American Psycho Collection
259401,The Invisible Man Collection
923369,Pisaasu Collection
308644,A Thief in the Night
